N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
15,10,True,3,0.0,0.0,2,0.0,1.4291303157806396,False
15,10,True,3,0.0,0.0,3,0.0,2.8767590522766113,False
15,10,True,3,0.0,0.0,3,0.0,2.8871748447418213,False
15,10,True,3,0.0,0.0,3,0.0,2.887542963027954,False
15,10,True,3,11,2081,1,1.4301300048828125,1.4301388263702393,False
15,10,True,3,0.0,0.0,1,0.0,2.6226043701171875e-05,False
15,10,True,3,0.0,0.0,2,0.0,1.4187583923339844,False
15,10,True,3,0.0,0.0,2,0.0,1.4467871189117432,False
15,10,True,5,0.0,0.0,1,0.0,1.6689300537109375e-05,False
15,10,True,5,11,2081,1,1.4486463069915771,1.4486591815948486,False
21,10,True,3,0.0,0.0,3,0.0,5.106765985488892,False
21,10,True,3,0.0,0.0,1,0.0,1.8358230590820312e-05,False
21,10,True,3,0.0,0.0,4,0.0,7.746462106704712,False
21,10,True,3,0.0,0.0,1,0.0,1.2636184692382812e-05,False
21,10,True,3,0.0,0.0,2,0.0,2.552581787109375,False
21,10,True,7,0.0,0.0,1,0.0,1.4066696166992188e-05,False
21,10,True,3,0.0,0.0,3,0.0,5.169588327407837,False
21,10,True,3,0.0,0.0,1,0.0,1.2159347534179688e-05,False
21,10,True,7,13,2881,2,2.5728392601013184,5.170358657836914,False
21,10,True,7,0.0,0.0,1,0.0,1.8835067749023438e-05,False
33,10,True,3,0.0,0.0,1,0.0,7.62939453125e-06,False
33,10,True,3,0.0,0.0,9,0.0,798.1063051223755,False
33,10,True,3,0.0,0.0,2,0.0,99.257164478302,False
33,10,True,3,15,3801,1,100.17641615867615,100.17642617225647,False
33,10,True,3,15,3801,1,99.18176174163818,99.18178153038025,False
33,10,True,3,15,3801,2,97.78095149993896,198.55122804641724,False
33,10,True,3,15,3801,1,101.3966805934906,101.39669942855835,False
33,10,True,3,15,3801,1,99.17184257507324,99.17185974121094,False
33,10,True,3,0.0,0.0,4,0.0,299.6850583553314,False
33,10,True,3,15,3801,1,100.72663879394531,100.726646900177,False
35,10,True,5,0.0,0.0,7,0.0,597.0975937843323,False
35,10,True,7,15,3801,2,101.85854244232178,201.91205978393555,False
35,10,True,7,0.0,0.0,1,0.0,1.9073486328125e-05,False
35,10,True,5,15,3801,1,101.36613249778748,101.36614060401917,False
35,10,True,5,0.0,0.0,2,0.0,100.90102648735046,False
35,10,True,7,0.0,0.0,2,0.0,98.04028844833374,False
35,10,True,5,15,3801,1,99.79338073730469,99.79339075088501,False
35,10,True,5,15,3801,5,98.49193906784058,499.02167201042175,False
35,10,True,5,0.0,0.0,1,0.0,1.71661376953125e-05,False
35,10,True,5,0.0,0.0,1,0.0,5.9604644775390625e-06,False
39,10,True,3,0.0,0.0,1,0.0,5.4836273193359375e-06,False
39,10,True,3,0.0,0.0,1,0.0,4.76837158203125e-06,False
39,10,True,3,15,3801,1,98.88264513015747,98.88265013694763,False
39,10,True,3,15,3801,2,99.98198318481445,200.60056519508362,False
39,10,True,3,0.0,0.0,1,0.0,1.8596649169921875e-05,False
39,10,True,3,0.0,0.0,1,0.0,6.4373016357421875e-06,False
39,10,True,3,0.0,0.0,3,0.0,199.79483556747437,False
39,10,True,3,0.0,0.0,1,0.0,8.821487426757812e-06,False
39,10,True,3,0.0,0.0,2,0.0,101.2456407546997,False
39,10,True,3,15,3801,4,101.41014409065247,399.7874276638031,False
51,10,True,3,0.0,0.0,2,0.0,98.82695484161377,False
51,10,True,3,0.0,0.0,2,0.0,99.6970145702362,False
51,10,True,3,0.0,0.0,1,0.0,8.344650268554688e-06,False
51,10,True,3,0.0,0.0,1,0.0,5.245208740234375e-06,False
51,10,True,3,15,3801,1,101.1958532333374,101.19585871696472,False
51,10,True,3,0.0,0.0,1,0.0,1.5974044799804688e-05,False
51,10,True,3,15,3801,1,98.16206693649292,98.16207337379456,False
51,10,True,3,15,3801,1,98.81453680992126,98.8145546913147,False
51,10,True,17,0.0,0.0,1,0.0,1.6450881958007812e-05,False
51,10,True,3,15,3801,1,98.93554544448853,98.93555235862732,False
55,10,True,5,0.0,0.0,1,0.0,1.71661376953125e-05,False
55,10,True,5,0.0,0.0,2,0.0,100.69053649902344,False
55,10,True,11,15,3801,1,99.7256760597229,99.72568368911743,False
55,10,True,5,0.0,0.0,2,0.0,99.16374897956848,False
55,10,True,11,0.0,0.0,1,0.0,9.298324584960938e-06,False
55,10,True,11,15,3801,1,99.6582202911377,99.65822744369507,False
55,10,True,5,0.0,0.0,2,0.0,99.24976873397827,False
55,10,True,5,0.0,0.0,1,0.0,7.62939453125e-06,False
55,10,True,11,0.0,0.0,1,0.0,5.0067901611328125e-06,False
