N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
15,10,False,5,0.0,0.0,3,0.0,10.90072751045227,False
15,10,False,3,0.0,0.0,1,0.0,5.4836273193359375e-06,False
15,10,False,3,0.0,0.0,1,0.0,4.0531158447265625e-06,False
15,10,False,5,0.0,0.0,3,0.0,11.284488677978516,False
15,10,False,3,0.0,0.0,2,0.0,6.832575559616089,False
15,10,False,5,0.0,0.0,3,0.0,13.302748441696167,False
15,10,False,3,0.0,0.0,2,0.0,6.570620536804199,False
15,10,False,3,0.0,0.0,1,0.0,7.152557373046875e-06,False
15,10,False,3,0.0,0.0,16,0.0,98.90348768234253,False
15,10,False,3,0.0,0.0,2,0.0,6.206399917602539,False
21,10,False,3,0.0,0.0,2,0.0,41.52701807022095,False
21,10,False,3,22,2833,2,42.32690787315369,84.08660173416138,False
21,10,False,3,0.0,0.0,2,0.0,42.099103927612305,False
21,10,False,3,22,2833,1,42.689093828201294,42.689101696014404,False
21,10,False,3,0.0,0.0,1,0.0,1.7404556274414062e-05,False
21,10,False,3,22,2833,2,43.09415245056152,84.35047316551208,False
21,10,False,7,0.0,0.0,1,0.0,1.7642974853515625e-05,False
21,10,False,3,0.0,0.0,2,0.0,42.39753246307373,False
21,10,False,3,22,2833,4,42.08373761177063,169.6352982521057,False
21,10,False,3,0.0,0.0,1,0.0,1.7881393432617188e-05,False
33,10,False,3,24,3753,1,236.02317428588867,236.02318239212036,False
33,10,False,3,0.0,0.0,2,0.0,237.09888362884521,False
33,10,False,3,24,3753,1,236.7886221408844,236.78863096237183,False
33,10,False,3,24,3753,1,237.30193448066711,237.30195379257202,False
33,10,False,3,0.0,0.0,1,0.0,2.8848648071289062e-05,False
33,10,False,3,24,3753,1,235.8252556324005,235.82526969909668,False
33,10,False,3,24,3753,1,235.15545177459717,235.1554718017578,False
33,10,False,3,0.0,0.0,1,0.0,2.8371810913085938e-05,False
33,10,False,11,0.0,0.0,1,0.0,8.821487426757812e-06,False
33,10,False,11,0.0,0.0,2,0.0,235.5884554386139,False
35,10,False,5,24,3753,1,236.19088649749756,236.19089579582214,False
35,10,False,5,24,3753,1,235.25993061065674,235.25995755195618,False
35,10,False,5,24,3753,4,236.36265563964844,942.8359670639038,False
35,10,False,5,24,3753,1,235.54651761054993,235.54653763771057,False
35,10,False,7,0.0,0.0,1,0.0,2.0265579223632812e-05,False
35,10,False,7,0.0,0.0,1,0.0,7.152557373046875e-06,False
35,10,False,5,0.0,0.0,1,0.0,5.9604644775390625e-06,False
35,10,False,5,0.0,0.0,1,0.0,5.245208740234375e-06,False
35,10,False,5,0.0,0.0,1,0.0,5.4836273193359375e-06,False
35,10,False,5,24,3753,1,235.42892146110535,235.42892694473267,False
39,10,False,3,24,3753,1,235.4919605255127,235.4919810295105,False
39,10,False,3,0.0,0.0,2,0.0,235.8721559047699,False
39,10,False,3,24,3753,1,236.0596878528595,236.05969786643982,False
39,10,False,3,0.0,0.0,5,0.0,942.1629722118378,False
39,10,False,3,24,3753,2,235.7642641067505,470.19478607177734,False
39,10,False,3,24,3753,1,235.09812355041504,235.09814310073853,False
39,10,False,3,0.0,0.0,1,0.0,1.9550323486328125e-05,False
39,10,False,3,24,3753,2,236.28418159484863,471.38753390312195,False
39,10,False,3,0.0,0.0,1,0.0,1.8596649169921875e-05,False
39,10,False,3,0.0,0.0,1,0.0,7.152557373046875e-06,False
51,10,False,3,0.0,0.0,3,0.0,471.96729731559753,False
51,10,False,3,0.0,0.0,2,0.0,236.24113392829895,False
51,10,False,3,0.0,0.0,6,0.0,1179.206518650055,False
51,10,False,3,0.0,0.0,4,0.0,705.5877423286438,False
51,10,False,3,0.0,0.0,1,0.0,8.344650268554688e-06,False
51,10,False,3,0.0,0.0,1,0.0,6.198883056640625e-06,False
51,10,False,17,0.0,0.0,2,0.0,235.13332867622375,False
51,10,False,3,0.0,0.0,11,0.0,2358.126986026764,False
51,10,False,3,0.0,0.0,3,0.0,470.4122664928436,False
51,10,False,3,0.0,0.0,1,0.0,1.2636184692382812e-05,False
55,10,False,5,24,3753,1,233.3010003566742,233.30101084709167,False
55,10,False,5,24,3753,1,236.1447615623474,236.14477968215942,False
55,10,False,5,24,3753,1,235.36848902702332,235.36850810050964,False
55,10,False,5,24,3753,1,235.81716299057007,235.8171899318695,False
55,10,False,5,24,3753,1,235.77200269699097,235.77202367782593,False
55,10,False,5,24,3753,1,236.7265546321869,236.72657418251038,False
55,10,False,5,24,3753,1,235.92521739006042,235.92525935173035,False
55,10,False,5,24,3753,1,234.4207112789154,234.42073106765747,False
55,10,False,5,24,3753,1,235.75793862342834,235.75795912742615,False
55,10,False,5,24,3753,1,235.86132717132568,235.86134815216064,False
57,10,False,3,0.0,0.0,1,0.0,2.002716064453125e-05,False
57,10,False,3,24,3753,1,236.2718436717987,236.27185201644897,False
57,10,False,3,24,3753,1,234.74818420410156,234.74820351600647,False
57,10,False,3,0.0,0.0,1,0.0,2.2411346435546875e-05,False
57,10,False,3,24,3753,1,235.4242548942566,235.42426443099976,False
57,10,False,3,24,3753,1,235.0128743648529,235.01289820671082,False
57,10,False,3,24,3753,1,236.098135471344,236.09816336631775,False
57,10,False,3,0.0,0.0,1,0.0,2.2411346435546875e-05,False
57,10,False,3,24,3753,1,236.4398226737976,236.43983364105225,False
57,10,False,3,24,3753,1,236.14370918273926,236.14372992515564,False
65,10,False,5,0.0,0.0,1,0.0,2.002716064453125e-05,False
65,10,False,5,26,4793,1,1283.1987516880035,1283.1987676620483,False
65,10,False,5,26,4793,1,1284.3524730205536,1284.3524985313416,False
65,10,False,5,0.0,0.0,1,0.0,1.9788742065429688e-05,False
65,10,False,13,0.0,0.0,1,0.0,7.62939453125e-06,False
65,10,False,13,0.0,0.0,2,0.0,1283.8550333976746,False
65,10,False,5,0.0,0.0,1,0.0,1.1205673217773438e-05,False
65,10,False,5,26,4793,3,1284.6791982650757,3854.3119146823883,False
65,10,False,5,0.0,0.0,1,0.0,2.6226043701171875e-05,False
65,10,False,13,0.0,0.0,1,0.0,1.0251998901367188e-05,False
69,10,False,3,26,4793,1,1285.9309346675873,1285.930944442749,False
69,10,False,3,26,4793,1,1284.7152757644653,1284.715297460556,False
69,10,False,3,0.0,0.0,1,0.0,2.1696090698242188e-05,False
69,10,False,3,26,4793,2,1284.0302715301514,2567.773948907852,False
69,10,False,3,26,4793,1,1283.4286515712738,1283.4286770820618,False
69,10,False,3,26,4793,1,1283.1740081310272,1283.174034833908,False
69,10,False,3,0.0,0.0,1,0.0,2.7894973754882812e-05,False
69,10,False,3,26,4793,1,1285.2368564605713,1285.236869096756,False
69,10,False,3,26,4793,1,1283.515537261963,1283.515564441681,False
69,10,False,3,26,4793,1,1284.4476099014282,1284.4476327896118,False
77,10,False,7,26,4793,3,1286.8867688179016,3854.0867068767548,False
77,10,False,11,0.0,0.0,1,0.0,2.2649765014648438e-05,False
77,10,False,11,26,4793,1,1286.3163397312164,1286.3163516521454,False
77,10,False,7,0.0,0.0,1,0.0,2.6226043701171875e-05,False
77,10,False,7,26,4793,2,1287.9873931407928,2571.4966185092926,False
77,10,False,7,0.0,0.0,2,0.0,1286.9344766139984,False
77,10,False,11,0.0,0.0,3,0.0,2569.097230911255,False
77,10,False,7,26,4793,1,1282.6598892211914,1282.6599016189575,False
77,10,False,11,0.0,0.0,3,0.0,2647.5982673168182,False
77,10,False,11,26,4793,2,1283.2137286663055,2567.2606835365295,False
85,10,False,5,0.0,0.0,9,0.0,10280.929628372192,False
85,10,False,5,0.0,0.0,1,0.0,1.0013580322265625e-05,False
85,10,False,17,0.0,0.0,2,0.0,1283.0925064086914,False
85,10,False,5,0.0,0.0,1,0.0,1.3828277587890625e-05,False
85,10,False,5,0.0,0.0,3,0.0,2569.7033722400665,False
85,10,False,17,0.0,0.0,1,0.0,1.0251998901367188e-05,False
85,10,False,5,0.0,0.0,9,0.0,10273.574646949768,False
85,10,False,17,0.0,0.0,2,0.0,1283.92511343956,False
