N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
65,10,False,5,0.0,0.0,3,0.0,32.6060585975647,False
65,10,False,5,26,4793,2,16.09748601913452,32.339672327041626,False
65,10,False,5,0.0,0.0,9,0.0,129.80505108833313,False
65,10,False,5,0.0,0.0,5,0.0,64.23365640640259,False
65,10,False,13,0.0,0.0,1,0.0,1.0967254638671875e-05,False
65,10,False,5,0.0,0.0,2,0.0,16.092684030532837,False
65,10,False,13,26,4793,1,16.08018469810486,16.080196142196655,False
69,10,False,3,0.0,0.0,1,0.0,2.5033950805664062e-05,False
69,10,False,3,0.0,0.0,1,0.0,1.2159347534179688e-05,False
69,10,False,3,0.0,0.0,3,0.0,32.47737121582031,False
69,10,False,3,0.0,0.0,7,0.0,97.40367364883423,False
69,10,False,3,0.0,0.0,4,0.0,48.359545946121216,False
69,10,False,3,26,4793,2,16.128189086914062,32.69067573547363,False
69,10,False,3,0.0,0.0,1,0.0,2.6941299438476562e-05,False
69,10,False,3,0.0,0.0,1,0.0,1.0728836059570312e-05,False
69,10,False,3,0.0,0.0,2,0.0,16.226747751235962,False
69,10,False,3,0.0,0.0,2,0.0,16.154364347457886,False
77,10,False,7,0.0,0.0,1,0.0,1.5497207641601562e-05,False
77,10,False,11,0.0,0.0,4,0.0,48.56843137741089,False
77,10,False,7,0.0,0.0,3,0.0,32.216952323913574,False
77,10,False,7,0.0,0.0,7,0.0,97.05117535591125,False
77,10,False,11,26,4793,7,16.240174770355225,113.48965716362,False
77,10,False,11,0.0,0.0,4,0.0,48.48128390312195,False
77,10,False,7,0.0,0.0,5,0.0,65.4976634979248,False
77,10,False,7,26,4793,4,16.44119906425476,65.28362488746643,False
77,10,False,7,0.0,0.0,2,0.0,16.105539560317993,False
77,10,False,7,0.0,0.0,1,0.0,1.0967254638671875e-05,False
85,10,False,5,0.0,0.0,9,0.0,129.0079860687256,False
85,10,False,17,0.0,0.0,2,0.0,16.05830144882202,False
85,10,False,5,0.0,0.0,4,0.0,48.77520680427551,False
85,10,False,17,0.0,0.0,7,0.0,96.66493725776672,False
85,10,False,5,0.0,0.0,1,0.0,1.3828277587890625e-05,False
85,10,False,5,0.0,0.0,3,0.0,31.780781507492065,False
85,10,False,17,0.0,0.0,2,0.0,16.08545207977295,False
85,10,False,5,0.0,0.0,3,0.0,32.06911301612854,False
85,10,False,5,0.0,0.0,3,0.0,32.7875189781189,False
85,10,False,5,0.0,0.0,4,0.0,48.56207251548767,False
87,10,False,3,0.0,0.0,4,0.0,48.64306163787842,False
87,10,False,3,0.0,0.0,1,0.0,1.4781951904296875e-05,False
87,10,False,3,0.0,0.0,4,0.0,48.10793137550354,False
87,10,False,3,0.0,0.0,1,0.0,1.5735626220703125e-05,False
87,10,False,3,0.0,0.0,3,0.0,32.20862317085266,False
87,10,False,3,0.0,0.0,2,0.0,16.082281827926636,False
87,10,False,3,0.0,0.0,1,0.0,1.4781951904296875e-05,False
87,10,False,3,0.0,0.0,7,0.0,97.40805268287659,False
87,10,False,3,0.0,0.0,10,0.0,146.12351989746094,False
87,10,False,3,0.0,0.0,3,0.0,32.57329773902893,False
91,10,False,7,0.0,0.0,5,0.0,64.75194382667542,False
91,10,False,7,26,4793,3,16.053656339645386,48.23937487602234,False
91,10,False,13,0.0,0.0,6,0.0,81.22083687782288,False
91,10,False,7,0.0,0.0,6,0.0,80.57779312133789,False
91,10,False,13,26,4793,5,16.256450653076172,80.80287313461304,False
91,10,False,7,0.0,0.0,3,0.0,32.45798134803772,False
91,10,False,13,0.0,0.0,4,0.0,48.51142501831055,False
91,10,False,7,0.0,0.0,4,0.0,48.59196925163269,False
91,10,False,13,26,4793,4,16.189913749694824,64.58807301521301,False
91,10,False,7,0.0,0.0,1,0.0,2.4557113647460938e-05,False
93,10,False,31,26,4793,1,16.179397344589233,16.179407119750977,False
93,10,False,3,0.0,0.0,1,0.0,2.6464462280273438e-05,False
93,10,False,3,0.0,0.0,1,0.0,9.059906005859375e-06,False
93,10,False,3,0.0,0.0,1,0.0,8.106231689453125e-06,False
93,10,False,3,0.0,0.0,2,0.0,16.23229432106018,False
93,10,False,31,26,4793,3,16.413235187530518,48.78744912147522,False
93,10,False,3,0.0,0.0,4,0.0,48.64206147193909,False
93,10,False,3,0.0,0.0,2,0.0,16.181615591049194,False
93,10,False,3,0.0,0.0,1,0.0,1.6450881958007812e-05,False
93,10,False,31,26,4793,1,16.44110608100891,16.441118478775024,False
95,10,False,5,0.0,0.0,1,0.0,2.2172927856445312e-05,False
95,10,False,19,0.0,0.0,3,0.0,32.30360794067383,False
95,10,False,19,0.0,0.0,5,0.0,64.59666085243225,False
95,10,False,5,0.0,0.0,2,0.0,16.26362419128418,False
95,10,False,5,0.0,0.0,1,0.0,1.33514404296875e-05,False
95,10,False,5,0.0,0.0,4,0.0,48.523767948150635,False
95,10,False,5,0.0,0.0,6,0.0,80.73171949386597,False
95,10,False,5,0.0,0.0,2,0.0,16.581880807876587,False
95,10,False,5,0.0,0.0,4,0.0,48.50840878486633,False
95,10,False,5,0.0,0.0,9,0.0,130.05598402023315,False
111,10,False,3,0.0,0.0,2,0.0,16.571332454681396,False
111,10,False,3,0.0,0.0,3,0.0,32.65481424331665,False
111,10,False,3,0.0,0.0,2,0.0,16.335987329483032,False
111,10,False,3,0.0,0.0,1,0.0,1.6689300537109375e-05,False
111,10,False,3,0.0,0.0,2,0.0,16.059390544891357,False
111,10,False,3,0.0,0.0,5,0.0,65.25190091133118,False
111,10,False,3,0.0,0.0,1,0.0,1.4781951904296875e-05,False
111,10,False,3,0.0,0.0,2,0.0,16.458714485168457,False
111,10,False,3,0.0,0.0,2,0.0,16.164292812347412,False
111,10,False,37,26,4793,1,16.22022032737732,16.220235109329224,False
115,10,False,23,0.0,0.0,5,0.0,65.19628238677979,False
